行政區,地段,地號,地價
大里區,中興段,03290000,34832
大里區,中興段,03290003,35280
大里區,中興段,03310000,34336
大里區,中興段,03320000,34841
大里區,中興段,03320004,33961
大里區,中興段,03340000,33655
大里區,中興段,03350000,33655
大里區,中興段,03520000,33655
大里區,中興段,03530000,33655
大里區,中興段,03530001,33655
大里區,中興段,03530003,33655
大里區,中興段,07790019,33655
大里區,中興段,07790049,34078
大里區,中興段,07790050,33655
大里區,中興段,07790052,34634
大里區,中興段,07790053,33655
大里區,中興段,07790054,33655
大里區,中興段,07790057,33655
大里區,大衛段,00020001,35755
大里區,大衛段,00120000,34778
大里區,大衛段,00120001,34241
大里區,大衛段,00120002,34095
大里區,大衛段,00130000,34526
大里區,大衛段,00130001,33655
大里區,大衛段,00130002,33655
大里區,大衛段,00220000,35755
大里區,大衛段,00230000,35755
大里區,大衛段,00230001,33655
大里區,大衛段,00230002,34721
大里區,大衛段,00240000,34788
大里區,大衛段,00240001,33655
大里區,大衛段,00240002,33655
大里區,大衛段,00240003,33811
大里區,大衛段,00250000,34092
大里區,大衛段,00250001,33655
大里區,大衛段,00250002,33655
大里區,大衛段,00250003,33655
大里區,大衛段,00260000,33874
大里區,大衛段,00260001,33655
大里區,大衛段,00260002,33655
大里區,大衛段,00260003,33655
大里區,大衛段,00270000,33660
大里區,大衛段,00270001,33655
大里區,大衛段,00270002,33655
大里區,大衛段,00270003,33655
大里區,大衛段,00280000,33655
大里區,大衛段,00280001,33655
大里區,大衛段,00280002,33655
大里區,大衛段,00280003,33655
大里區,大衛段,00280004,33655
大里區,大衛段,00290000,34233
大里區,大衛段,00300000,34655
大里區,大衛段,00300001,34655
大里區,大衛段,00300002,34655
大里區,大衛段,00300003,34655
大里區,大衛段,00310000,34655
大里區,大衛段,00310001,34655
大里區,大衛段,00310002,34655
大里區,大衛段,00310003,34655
大里區,大衛段,00310004,34655
大里區,大衛段,00310005,34655
大里區,大衛段,00310006,34655
大里區,大衛段,00310007,34655
大里區,大衛段,00330000,35129
大里區,大衛段,00330003,34655
大里區,大衛段,00340000,35348
大里區,大衛段,00340001,34655
大里區,大衛段,00360000,33655
大里區,大衛段,00360001,33655
大里區,大衛段,00370000,33655
大里區,大衛段,00370001,33655
大里區,大衛段,00380000,33655
大里區,大衛段,00390000,33655
大里區,大衛段,00400000,33655
大里區,大衛段,00410000,33655
大里區,大衛段,00420000,33655
大里區,大衛段,00420001,33655
大里區,大衛段,00430000,33655
大里區,大衛段,00430001,33655
大里區,大衛段,00440000,33655
大里區,大衛段,00440001,33655
大里區,大衛段,00450000,33655
大里區,大衛段,00460000,33655
大里區,大衛段,00460001,33655
大里區,大衛段,00460002,33655
大里區,大衛段,00460003,33655
大里區,大衛段,00460004,33655
大里區,大衛段,00460005,33655
大里區,大衛段,00470002,33655
大里區,大衛段,00470003,33655
大里區,大衛段,00480002,33655
大里區,大衛段,00480003,33655
大里區,大衛段,00490001,33655
大里區,大衛段,00650000,34183
大里區,大衛段,00650003,33856
大里區,大衛段,00660000,34343
大里區,大衛段,00670000,34213
大里區,大衛段,00670001,34655
大里區,大衛段,00680000,33724
大里區,大衛段,00680001,34350
大里區,大衛段,00690000,34196
大里區,大衛段,00700000,34655
大里區,大衛段,00700001,34655
大里區,大衛段,00700002,34655
